# Contrastive tranche for the remaining abstains and section-split failures.
ab741bbed5a1	if my kid throws up two times at daycare do they have to go home	daycare vomiting twice send home rule	when does repeat vomiting mean a child cannot stay in care	child threw up more than once does the provider have to exclude them	how many vomiting episodes in a day get a child sent home
c19399d40a2e	can a child start daycare while still catching up on vaccines	is a child allowed in care if shots are behind but appointments are scheduled	not current on immunizations can they still enroll in child care	does washington let daycare take a kid with a vaccine catch up plan	can a daycare accept a child who is missing shots for now
183c78dc9649	do providers have to build outdoor play into every day	must the daily child care schedule include outside active play	is outdoor time required each day in a licensed program	can daycare skip outside play on normal days	is there a daily outdoor play requirement for kids in care
6e98e2bc67af	if i run family child care by myself how many school agers can i keep	home daycare school age only limit with one provider	solo family home provider max school age enrollment	family child care working alone with only school age kids how many are allowed	one home daycare provider school age capacity rule
41543a55523a	in a family home with one provider how many ages three through twelve are allowed	home daycare working alone limit for children three to twelve	maximum older child capacity for one family home caregiver	family child care ages three to twelve how many can one person watch	how many noninfant children can a solo family home provider care for
5108eb006a56	what is the family child care infant ratio with two providers	home daycare baby ratio when two adults are staffing	how many infants per caregiver are allowed in a family home setting	family home child care birth to twenty four months ratio with two staff	licensed family home infant staffing ratio not center classroom
31c75b4ed12d	when does a family home daycare need a second adult helper	what child mix makes two staff mandatory in family child care	home daycare second staff trigger rule	when must another provider be present in a family child care home	family home staffing requirement once babies and other children are together
c55a766a9540	in a center classroom how many children can one teacher supervise	daycare center teacher child ratio in general	center staffing rule how many kids per teacher	licensed center classroom capacity per teacher	center teacher supervision limit not home daycare
8307282bf05d	in a center infant room how many babies can one teacher have	center classroom infant ratio per teacher	licensed center baby room staffing rule	how many infants can a center caregiver supervise at once	center infant teacher ratio not family home
0cb3bf89aebc	in a center program how many school age children can one teacher watch	center school age classroom ratio rule	licensed center teacher limit for school age kids	school age center ratio per teacher not family home	how many elementary age children per teacher in a center
d41a1bfc7ddb	does daycare have to notify families about a contagious illness outbreak	when are parents told about a disease outbreak at child care	outbreak notice requirement for child care centers	must providers alert parents when there is a communicable disease outbreak	daycare outbreak communication rule
f56986064923	what kinds of incidents have to be reported to a parent right away	if there is an emergency involving my child what must daycare report	parent notification rule for injuries deaths or poison help calls	which serious incidents require immediate notice to guardians	what must child care tell families after a serious incident
e6a767be9cae	if my child is seriously hurt at daycare what happens next	do they have to call me if my child needs emergency care at child care	my child got injured in care what is daycare required to do	what is the rule when a child is badly hurt at a center	must providers immediately contact the parent after a serious injury
36094ffa9ac8	what has to be included in a daycare fire drill	do they have to log who took part in the fire drill	fire drill documentation requirements for child care	what are providers required to do during fire and evacuation drills	what details have to be recorded for daycare fire drills
86d0632ff7c5	how often does a child care program have to practice a fire drill	fire drill frequency requirement for licensed daycare	is the fire evacuation drill monthly at child care	how many times each year must daycare do fire drills	do providers need to practice fire drills every month
950da987738d	does breast milk have to be refrigerated right away if it was left out at dropoff	left on the counter breast milk at daycare how long is it usable	once breast milk is thawed how long can child care keep it	room temperature breast milk rule for daycare providers	can daycare keep thawed breast milk until tomorrow
0ec6a3acb3d7	what has to be written on a breast milk bottle at daycare	do providers need the baby's full name and date on expressed milk	breast milk labeling requirements in child care	how should a center mark and refrigerate pumped milk	what are the labeling and storage steps for breast milk in care
103103c39659	where exactly should daycare keep pumped milk during the day	is expressed milk supposed to stay in the refrigerator at child care	what storage location is required for breast milk after dropoff	do providers keep breast milk chilled while my child is there	where should pumped breast milk be placed in daycare
12ba3287ff87	how tiny should pieces of food be for an infant at daycare	what size should staff cut food into for babies	how small do baby food pieces need to be to prevent choking	infant finger food size rule in child care	how should food be cut up for infants in care
ddb74793102e	what food piece size is considered safe for babies	safe bite size for infants at daycare	providers need to cut baby food into what size pieces	how big can food pieces be for infants in child care	baby choking prevention food size requirement
01e73db75939	are infant sleep positioners allowed at daycare	can a baby use a wedge or positioner for sleep in child care	sleep positioner ban for infants at daycare	do providers have to avoid wedges and positioners for sleeping babies	is a sleep positioner okay in an infant crib
2892cfa92b87	how should staff lay an infant down to sleep in daycare	what is the required way to place a baby for sleep in child care	do providers have to put babies on their backs for naps	how are infants supposed to be positioned when laid down to sleep	proper infant sleep placement rule at daycare
b5ea7cd5d7f2	can a five month old have a blanket in the crib at daycare	blanket allowed for a sleeping infant in child care	is there ever a blanket exception for babies in cribs	do providers have to keep blankets out of infant cribs	can my baby nap with a blanket at daycare
2e430158ee7b	can a daycare save the rest of a bottle after the baby already drank from it	after feeding can a half used bottle go back into the fridge	unfinished formula bottle save for later rule	baby drank some of the bottle can staff refrigerate the rest	partially consumed bottle discard requirement in child care
ab29c3fd0a03	can a daycare serve food after the use by date	expired snack rule for child care providers	is serving out of date food prohibited at daycare	can children be given food past the best by date in care	expired food service ban in child care
56b91ebf1383	what temperature does hot or cold food have to be held at	food holding temperature rule for daycare meals	safe holding temperature requirement for food in child care	how warm or cold must prepared food stay before serving	temperature rule for holding food safely at daycare
